"","x"
"89","https://www.cnn.com/2024/05/01/politics/kamala-harris-florida-abortion-trump/index.html"
"90","https://www.cnn.com/2024/05/01/politics/arizona-abortion-ban-senate-vote/index.html"
"91","https://www.cnn.com/2024/05/01/health/florida-abortion-ban-clinic/index.html"
"92","https://www.cnn.com/2024/04/17/us/dei-medical-schools-black-maternal-health-reaj/index.html"
"93","https://www.cnn.com/2024/04/29/health/florida-abortion-ban-takes-effect/index.html"
"94","https://www.cnn.com/2024/05/01/politics/cnn-poll-abortion-laws/index.html"
"95","https://www.cnn.com/2024/04/30/opinions/gop-abortion-pregnant-workers-lawsuit-filipovic/index.html"
"96","https://www.cnn.com/2024/04/27/politics/amy-coney-barrett-supreme-court-immunity-idaho-abortion/index.html"
"97","https://www.cnn.com/2024/04/25/politics/eeoc-abortion-lawsuit-pregnant-workers/index.html"
"98","https://www.cnn.com/2024/04/24/politics/arizona-house-abortion-law/index.html"
"99","https://www.cnn.com/2024/04/24/us/5-things-pm-april-24-trnd/index.html"
"100","https://www.cnn.com/politics/live-news/abortion-supreme-court-idaho-04-24-24/index.html"
"101","https://www.cnn.com/2024/04/24/politics/takeaways-supreme-court-abortion-idaho/index.html"
"102","https://www.cnn.com/2024/04/24/health/male-infertility-wellness/index.html"
"103","https://www.cnn.com/2024/04/23/politics/abortion-rights-supreme-court-what-matters/index.html"
"104","https://www.cnn.com/2024/04/20/politics/abortion-supreme-court-idaho-emergency-care/index.html"
"105","https://www.cnn.com/2024/04/24/politics/solicitor-general-elizabeth-prelogar-idaho-abortion/index.html"
"106","https://www.cnn.com/2024/04/23/politics/kari-lake-abortion-arizona/index.html"
"107","https://www.cnn.com/2024/04/23/politics/biden-abortion-rights-florida/index.html"
"108","https://www.cnn.com/2024/04/22/health/biden-administration-new-rule-reproductive-health-care-privacy/index.html"
"109","https://www.cnn.com/2024/04/18/politics/arizona-senate-abortion-ban/index.html"
"110","https://www.cnn.com/2024/04/17/politics/arizona-house-abortion-law-repeal/index.html"
"111","https://www.cnn.com/2024/04/16/politics/abortion-democrats-freedom-messaging/index.html"
"112","https://www.cnn.com/2024/04/16/business/pregnant-workers-abortion-employers/index.html"
"113","https://www.cnn.com/2024/04/16/business/corporate-america-abortion-activism-nightcap/index.html"
"114","https://www.cnn.com/2024/04/15/politics/planned-parenthood-attack-former-marine-sentenced/index.html"
"115","https://www.cnn.com/2024/04/15/politics/arizona-republicans-abortion-ballot-measures/index.html"
"116","https://www.cnn.com/2024/04/15/opinions/death-to-america-chants-palestinian-rally-dearborn-obeidallah/index.html"
"117","https://www.cnn.com/2024/04/15/health/pregnancy-complications-risk-of-death-wellness/index.html"
"118","https://www.cnn.com/2024/04/15/europe/germany-abortion-recommendation-intl/index.html"
"119","https://www.cnn.com/2024/04/14/us/chicago-shooting-child-killed/index.html"
"120","https://www.cnn.com/2024/04/12/politics/harris-arizona-abortion/index.html"
"121","https://www.cnn.com/2024/04/12/health/permanent-contraception-dobbs-wellness/index.html"
