"","x"
"139","/2023/7/27/headlines/singer_sinead_oconnor_shunned_for_standing_up_for_the_rights_of_the_most_vulnerable_dies_at_56"
"140","/2023/7/25/israel_judicial_overhaul"
"141","/2023/7/25/tamarra_wieder_abortion_rights_planned_parenthood"
"142","/2023/7/21/headlines/nebraska_teen_who_used_abortion_pill_gets_sentenced_to_90_days_in_jail"
"143","/2023/7/21/headlines/women_suing_texas_over_abortion_ban_share_harrowing_personal_accounts"
"144","/2023/7/20/headlines/chuck_schumer_oks_vote_on_pentagon_abortion_policy_as_tuberville_blocks_military_appointments"
"145","/2023/7/18/headlines/judge_puts_iowas_six_week_abortion_ban_on_hold"
"146","/2023/7/17/headlines/house_gop_approves_record_military_budget_with_anti_abortion_and_anti_lgbtqia_provisions"
"147","/2023/7/14/headlines/fda_approves_first_over_the_counter_oral_contraceptive"
"148","/2023/7/13/everybody_should_see_every_body"
"149","/2023/7/12/headlines/iowa_gop_passes_6_week_abortion_ban_thats_set_to_go_into_effect_this_week"
"150","/2023/7/11/headlines/iowas_gop_controlled_legislature_convenes_special_session_to_consider_abortion_ban"
"151","/2023/7/11/headlines/nebraska_mother_pleads_guilty_to_helping_daughter_with_criminalized_abortion"
"152","/2023/7/11/headlines/sen_tuberville_stalls_confirmation_of_top_us_generals_over_reproductive_healthcare_benefits"
"153","/2023/7/10/tennessee_trans_ban"
"154","/2023/7/10/sarah_mcbride_congress"
"155","/2023/7/4/hope_and_resistance_voices_of_a"
"156","/2023/6/30/fake_gay_marriage_website_scotus_case"
"157","/2023/6/29/wagner_group_marten"
"158","/2023/6/27/prigozhin_march_charges_dropped_james_risen"
"159","/2023/6/26/nina_khrushcheva_yevgeny_prigozhin_moscow_march"
"160","/2023/6/26/wagner_revolt_kimberly_marten"
"161","/2023/6/26/dobbs_anniversary_abortion"
"162","/2023/6/26/amy_littlefield_abortion_access_part2"
"163","/2023/6/26/headlines/supporters_and_opponents_of_abortion_rights_hold_competing_rallies_on_anniversary_of_dobbs_ruling"
"164","/2023/6/21/minnesota_miracle_democratic_trifecta_progressive_reforms"
"165","/2023/6/15/sudan_conflict_healthcare_system"
"166","/2023/6/15/headlines/protesters_take_to_polish_streets_after_death_of_pregnant_woman_who_was_denied_abortion_care"
"167","/2023/6/15/headlines/doj_charges_2_over_planned_parenthood_firebombing_google_made_10m_from_anti_abortion_ads"
"168","/2023/6/12/every_body_julie_cohen_film_intersex"
"169","/2023/6/9/headlines/scotus_upholds_ability_of_medicaid_recipients_to_sue_states_that_violate_their_rights"
"170","/2023/6/8/headlines/mike_pence_announces_2024_presidential_bid_rebukes_trump_over_jan_6_actions"
"171","/2023/6/8/headlines/mike_pence_announces_2024_presidential_bid_rebukes_trump_over_jan_6_actions"
"172","/2023/6/7/hrc_state_of_emergency"
"173","/2023/6/7/cornel_west_on_third_party_presidential"
"174","/2023/6/1/headlines/tennessee_woman_is_left_infertile_after_doctors_refuse_to_perform_abortion"
"175","/2023/5/30/headlines/south_carolina_court_puts_temporary_hold_on_near_total_abortion_ban"
"176","/2023/5/26/headlines/indiana_medical_board_disciplines_doctor_who_provided_abortion_to_10_year_old_rape_survivor"
"177","/2023/5/25/florida_once_the_land_of_make"
"178","/2023/5/24/headlines/south_carolina_gop_passes_6_week_abortion_ban_sends_bill_to_republican_governors_desk"
"179","/2023/5/23/ron_desantis_florida_immigration_crackdown"
"180","/2023/5/23/headlines/nevada_lawmakers_approve_bill_protecting_out_of_state_abortion_patients"
"181","/2023/5/22/pen_america_masha_gessen"
"182","/2023/5/22/headlines/nebraska_republicans_ban_abortions_at_12_weeks_and_gender_affirming_care_for_youth"
"183","/2023/5/18/artificial_intelligence_history_how_it_embeds"
"184","/2023/5/18/headlines/sc_house_passes_another_6_week_abortion_ban_us_appeals_court_hears_arguments_in_abortion_pill_case"
"185","/2023/5/17/headlines/north_carolina_bans_abortion_after_12_weeks_as_gop_lawmakers_override_governors_veto"
"186","/2023/5/17/headlines/nebraska_lawmakers_advance_bill_to_ban_abortion_ban_gender_affirming_medical_care"
"187","/2023/5/16/tommy_tuberville_white_nationalist_comments"
"188","/2023/5/15/headlines/sen_tuberville_under_fire_for_backing_white_nationalists_in_military"
"189","/2023/5/15/headlines/north_carolinas_democratic_gov_vetoes_abortion_ban_setting_up_possible_gop_override"
"190","/2023/5/15/headlines/texas_woman_killed_by_partner_after_returning_from_colorado_where_she_had_an_abortion"
"191","/2023/5/11/headlines/fda_advisers_vote_in_favor_of_making_popular_birth_control_pill_available_over_the_counter"
"192","/2023/5/9/watch_2023_pulitzer_prize_winners_on"
"193","/2023/5/8/dahlia_lithwick_dianne_feinstein"
"194","/2023/5/8/headlines/right_wing_parties_win_majority_of_seats_on_commission_to_rewrite_chiles_constitution"
"195","/2023/5/5/proud_boys_convicted"
"196","/2023/5/5/dream_defenders_florida"
"197","/2023/5/5/headlines/north_carolina_gop_passes_12_week_abortion_ban_plans_to_override_governors_veto"
"198","/2023/5/4/headlines/montana_imposes_new_restrictions_on_abortion_access"
"199","/2023/5/4/headlines/activists_arrested_at_peaceful_protest_against_floridas_attacks_on_abortion_lgbtq_immigrant_rights"
"200","/2023/5/1/headlines/santiago_pena_elected_president_of_paraguay_keeping_dominant_pro_taiwan_party_in_power"
"201","/2023/4/28/headlines/abortion_ban_bills_fail_in_south_carolina_and_nebraska_keeping_abortion_legal_until_22_weeks"
"202","/2023/4/25/headlines/north_dakota_governor_signs_near_total_abortion_ban_into_law"
"203","/2023/4/24/scotus_mifepristone"
"204","/2023/4/24/headlines/scotus_keeps_abortion_pill_mifepristone_on_market_while_challenge_to_ban_proceeds"
"205","/2023/4/20/mifepristone_abortion_scotus"
"206","/2023/4/20/abortion_access_attacks"
"207","/2023/4/20/headlines/supreme_court_delays_decision_on_medication_abortions_until_friday"
"208","/2023/4/19/clarence_thomas_abe_fortas"
"209","/2023/4/17/frank_mugisha_uganda_anti_gay_bill"
"210","/2023/4/17/full_interview_frank_mugisha_on_new"
"211","/2023/4/17/headlines/scotus_pauses_ban_of_mifepristone_to_review_case_ruled_on_by_anti_abortion_judge"
"212","/2023/4/17/headlines/colorado_enshrines_protections_for_abortions_and_gender_affirming_care"
"213","/2023/4/14/amy_littlefield_mifepristone"
"214","/2023/4/14/headlines/florida_governor_ron_desantis_signs_bill_banning_abortions_at_just_six_weeks"
"215","/2023/4/14/headlines/federal_judge_issues_conflicting_ruling_on_abortion_medication_setting_up_supreme_court_fight"
"216","/2023/4/13/carol_anderson_guns_democracy_abortion"
"217","/2023/4/13/headlines/us_appeals_court_partially_restores_access_to_abortion_medication_mifepristone"
"218","/2023/4/12/headlines/democratic_governors_stockpile_abortion_drugs_vow_to_keep_treating_residents_who_need_abortions"
"219","/2023/4/11/headlines/doj_sues_to_block_texas_judges_ruling_revoking_fda_approval_of_abortion_drug"
"220","/2023/4/10/fda_abortion_medication_mifepristone"
"221","/2023/4/10/fda_abortion_medication_mifepristone"
"222","/2023/4/10/jessica_mason_pieklo"
"223","/2023/4/10/birth_control_history_lauren_macivor_thompson"
"224","/2023/4/10/abortion_access_unite_states"
"225","/2023/4/10/dr_deshawn_taylor"
"226","/2023/4/10/headlines/fate_of_medication_abortion_in_legal_limbo_as_two_us_judges_issue_conflicting_rulings"
"227","/2023/4/7/headlines/idaho_enacts_abortion_trafficking_law_that_bans_helping_minors_get_an_out_of_state_abortion"
"228","/2023/4/6/from_wisconsin_to_chicago_the_power"
"229","/2023/4/6/headlines/north_carolina_democrat_switches_parties_giving_states_gop_veto_proof_majority"
"230","/2023/4/6/headlines/wisconsin_gop_targets_liberal_judge_janet_protasiewicz_for_impeachment_after_supreme_court_win"
"231","/2023/4/5/headlines/liberal_judge_wins_wisconsin_supreme_court_race_in_major_victory_for_voting_and_abortion_rights"
"232","/2023/4/4/wisconsin_supreme_court"
"233","/2023/4/4/headlines/11_arrested_at_pro_choice_protest_as_florida_senate_approves_six_week_abortion_ban"
"234","/2023/4/3/elie_mystal_obamacare_abortion"
"235","/2023/4/3/headlines/ex_arkansas_gov_asa_hutchinson_to_challenge_trump_for_2024_gop_presidential_nomination"
"236","/2023/3/31/nashville_gun_control_protest_state_capitol"
"237","/2023/3/29/headlines/idaho_house_passes_bill_criminalizing_people_who_help_minors_get_out_of_state_abortions"
"238","/2023/3/23/headlines/wyoming_abortion_ban_halted_idaho_maternity_ward_closes_as_doctors_fear_criminal_penalties"
"239","/2023/3/22/headlines/mn_house_passes_bill_to_protect_patients_and_providers_who_travel_from_out_of_state_for_abortion"
"240","/2023/3/20/headlines/wyoming_bans_abortion_pill_as_wider_abortion_ban_goes_into_effect"
"241","/2023/3/17/headlines/north_dakota_supreme_court_leaves_access_to_abortion_in_place_as_ban_is_challenged"
"242","/2023/3/16/headlines/federal_judge_in_texas_hears_arguments_in_case_that_could_disrupt_abortion_access_nationwide"
"243","/2023/3/15/jeremy_scahill_nord_stream_pipeline_sabotage"
"244","/2023/3/15/amy_littlefield_mifepristone_texas_case"
"245","/2023/3/14/headlines/hondurass_first_woman_president_ends_ban_on_emergency_contraception"
"246","/2023/3/14/headlines/south_carolina_republicans_bill_would_punish_abortion_with_death_penalty"
"247","/2023/3/10/barbara_lee_pentagon_budget_senate_seat"
"248","/2023/3/10/texas_women_lawsuit_abortion_rights"
"249","/2023/3/9/women_life_freedom_the_power_and"
"250","/2023/3/8/iwd_united_states"
"251","/2023/3/8/iwd_el_salvador"
"252","/2023/3/8/headlines/5_women_sue_texas_for_denying_them_abortions"
"253","/2023/3/6/anti_trans_legislation_united_states"
"254","/2023/3/3/headlines/walgreens_wont_dispense_abortion_pills_in_states_where_abortion_is_still_legal_after_gop_threats"
"255","/2023/3/1/headlines/senate_holds_equal_rights_amendment_hearing_as_us_court_denies_attempt_to_include_in_constitution"
"256","/2023/2/27/era_hearing"
"257","/2023/2/24/headlines/texas_judge_could_block_access_to_abortion_pill_for_patients_nationwide"
"258","/2023/2/24/headlines/pregnant_woman_argues_her_fetus_is_being_unlawfully_detained_in_florida_jail"
"259","/2023/2/22/headlines/pivotal_wisconsin_supreme_court_election_could_reinstate_abortion_access_protect_voting_rights"
"260","/2023/2/17/headlines/ny_senate_votes_down_gov_hochuls_judicial_pick_after_backlash_from_unions_rights_groups"
"261","/2023/2/16/headlines/virginia_republicans_thwart_bill_to_safeguard_peoples_private_menstrual_data"
"262","/2023/2/8/robinson_baker_duss_ramirez_1"
"263","/2023/2/8/headlines/bidens_sotu_calls_for_police_reform_assault_weapons_ban_protection_of_abortion_while_gop_heckles"
